Date,Country,City,Max Temp,Cloudiness,Humidity,Wind Speed,Latittude,Longitude
1637455819,PF,Rikitea,73.92,15,58,2.95,-23.1203,-134.9692
1637455589,RU,Tiksi,-7.78,100,91,6.78,71.6872,128.8694
1637455819,RU,Yerbogachën,-0.9,100,96,2.71,61.2767,108.0108
1637455590,US,Albany,40.46,100,59,4.99,42.6001,-73.9662
1637455590,ZA,Kruisfontein,62.89,100,82,11.16,-34.0033,24.7314
1637455590,PE,Pisco,64.45,0,88,17.27,-13.7,-76.2167
1637455910,AU,Geraldton,73.13,75,68,13.8,-28.7667,114.6
1637455910,ID,Bengkulu,79.29,100,77,2.57,-3.8004,102.2655
1637455591,CA,Thompson,14.16,40,79,5.75,55.7435,-97.8558
1637455502,US,Barrow,1.42,75,85,9.22,71.2906,-156.7887
1637455911,UY,Chui,61.72,0,74,5.23,-33.6971,-53.4616
1637455911,ZA,Bredasdorp,61.29,100,80,15.82,-34.5322,20.0403
1637455911,RU,Krasnosel'kup,-1.93,100,94,20.29,65.7,82.4667
1637455912,RU,Zyryanka,-17.07,96,100,2.44,65.75,150.85
1637455821,PG,Kieta,85.03,25,66,4.79,-6.2167,155.6333
1637455912,BR,Aripuanã,74.12,69,88,1.61,-9.1667,-60.6333
1637455912,JP,Itoman,79.18,20,69,12.66,26.1247,127.6694
1637455913,NP,Jumla,40.96,0,74,4.32,29.2747,82.1838
1637455365,US,Hilo,82.13,90,79,12.66,19.7297,-155.09
1637455913,PE,El Alto,62.26,71,90,15.97,-4.2714,-81.2147
1637455598,ZA,Port Alfred,64.0,98,84,18.81,-33.5906,26.891
1637455599,CL,Punta Arenas,41.11,20,65,27.63,-53.15,-70.9167
1637455914,US,Uvalde,65.39,1,51,5.75,29.3669,-99.767
1637455914,AU,Mount Gambier,62.51,40,51,13.8,-37.8333,140.7667
1637455914,GH,Takoradze,79.74,9,87,6.93,4.8845,-1.7554
1637455915,ES,Puerto del Rosario,62.28,0,77,6.91,28.5004,-13.8627
